Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15967639;Магнитный уровень Inforce 600мм 06-11-056;"
    2 469 р.

    ";"
    В наличии
    40
    шт.
  ";https://spb.vseinstrumenti.ru/product/magnitnyj-uroven-inforce-600mm-06-11-056-1118466/
код: 15967638;Магнитный уровень Inforce 400мм 06-11-055;"
    1 189 р.

    ";"
    В наличии
    28
    шт.
  ";https://spb.vseinstrumenti.ru/product/magnitnyj-uroven-inforce-400mm-06-11-055-1118464/
код: 16019648;Магнитный уровень Inforce 230мм 06-11-054;"
    1 209 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/magnitnyj-uroven-inforce-230mm-06-11-054-1302480/
код: 15966859;Алюминиевый магнитный строительный уровень Gigant 600мм GWM600;"
    897 р.

    ";"
    В наличии
    57
    шт.
  ";https://spb.vseinstrumenti.ru/product/alyuminievyj-magnitnyj-stroitelnyj-uroven-gigant-600mm-gwm600-1080856/
код: 15967641;Магнитный уровень Inforce 1000мм 06-11-058;"
    1 694 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/magnitnyj-uroven-inforce-1000mm-06-11-058-1118447/
код: 15764230;Алюминиевый строительный уровень с разметкой 400мм Gigant SL400;"
    599 р.

    ";"
    В наличии
    81
    шт.
  ";https://spb.vseinstrumenti.ru/product/alyuminievyj-stroitelnyj-uroven-s-razmetkoj-400mm-gigant-sl400-976329/
код: 15967640;Магнитный уровень Inforce 800мм 06-11-057;"
    1 839 р.

    ";"
    В наличии
    20
    шт.
  ";https://spb.vseinstrumenti.ru/product/magnitnyj-uroven-inforce-800mm-06-11-057-1118469/
код: 15764233;Алюминиевый строительный уровень с разметкой 1000мм Gigant SL1000;"
    797 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/alyuminievyj-stroitelnyj-uroven-s-razmetkoj-1000mm-gigant-sl1000-976330/
код: 15790437;Строительный уровень Inforce 400мм 06-11-55;"
    869 р.

    ";"
    В наличии
    16
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-uroven-inforce-400mm-06-11-55-976152/
код: 15967642;Магнитный уровень Inforce 1200мм 06-11-059;"
    1 999 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/magnitnyj-uroven-inforce-1200mm-06-11-059-1118439/
код: 15790440;Строительный уровень 1000мм Inforce 06-11-58;"
    1 339 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-uroven-1000mm-inforce-06-11-58-976805/
код: 15764231;Алюминиевый строительный уровень с разметкой Gigant 600мм SL600;"
    586 р.

    ";"
    В наличии
    16
    шт.
  ";https://spb.vseinstrumenti.ru/product/alyuminievyj-stroitelnyj-uroven-s-razmetkoj-gigant-600mm-sl600-1080861/
код: 15790438;Строительный уровень 600мм Inforce 06-11-56;"
    999 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-uroven-600mm-inforce-06-11-56-976802/
код: 15764234;Алюминиевый строительный уровень с разметкой 1200мм Gigant SL1200;"
    501 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/alyuminievyj-stroitelnyj-uroven-s-razmetkoj-1200mm-gigant-sl1200-976331/
код: 15790439;Строительный уровень 800мм Inforce 06-11-57;"
    1 109 р.

    ";"
    В наличии
    10
    шт.
  ";https://spb.vseinstrumenti.ru/product/stroitelnyj-uroven-800mm-inforce-06-11-57-976803/
код: 15774508;Алюминиевый строительный уровень Gigant 1000мм GW1000;"
    710 р.

    ";"
    В наличии
    > 100
    шт.
  ";https://spb.vseinstrumenti.ru/product/alyuminievyj-stroitelnyj-uroven-gigant-1000mm-gw1000-1080854/
код: 15035057;Уровень PLUMBSITE GENESIS 60 см KAPRO 781-40-60;"
    2 621 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/uroven-plumbsite-genesis-60-sm-kapro-781-40-60-229486/
код: 17926165;Алюминиевый строительный уровень Gigant 400 мм GW400;"
    714 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/alyuminievyj-stroitelnyj-uroven-gigant-400-mm-gw400-2091898/
код: 15847536;УРОВЕНЬ Kapro 987XL-41-80;"
    2 947 р.

    ";"
    В наличии
    17
    шт.
  ";https://spb.vseinstrumenti.ru/product/uroven-kapro-987xl-41-80-947779/
код: 15035052;Уровень PLUMBSITE GENESIS 100 см KAPRO 781-40-100;"
    3 707 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/uroven-plumbsite-genesis-100-sm-kapro-781-40-100-229477/
код: 15847535;УРОВЕНЬ Kapro 987XL-41-60;"
    2 491 р.

    ";"
    В наличии
    7
    шт.
  ";https://spb.vseinstrumenti.ru/product/uroven-kapro-987xl-41-60-947759/
код: 15696748;Уровень мини KAPRO 246;"
    687 р.

    ";"
    В наличии
    6
    шт.
  ";https://spb.vseinstrumenti.ru/product/uroven-mini-kapro-246-847070/
код: 15847537;УРОВЕНЬ МАГНИТНЫЙ Kapro 987XL-41-100M;"
    5 057 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/uroven-magnitnyj-kapro-987xl-41-100m-947780/
код: 15696821;Уровень строительный ADA TITAN 60 PLUS А00510;"
    1 490 р.

    ";"
    В наличии
    13
    шт.
  ";https://spb.vseinstrumenti.ru/product/uroven-stroitelnyj-ada-titan-60-plus-a00510-847153/
