Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15985810;Бензиновый сварочный генератор REDVERG RD190EBW 5019372;"
    88 900 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/benzinovyj-svarochnyj-generator-redverg-rd190ebw-5019372-1114277/
код: 13528541;Сварочный бензиновый генератор Huter DY6500LXW 64/1/18;"
    100 590 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/svarochnyj-benzinovyj-generator-huter-dy6500lxw-64-1-18-50263/
код: 16039321;Сварочный генератор Inforce WGL230 04-03-22;"
    100 599 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/svarochnyj-generator-inforce-wgl230-04-03-22-1438865/
код: 15894875;Сварочный генератор DDE GW200 917-484;"
    88 900 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/svarochnyj-generator-dde-gw200-917-484-987104/
код: 15696278;Сварочная бензиновая электростанция FUBAG WS 230 DDC ES 838238;"
    141 370 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/svarochnaya-benzinovaya-elektrostantsiya-fubag-ws-230-ddc-es-838238-845641/
код: 15632301;Сварочная бензиновая электростанция FUBAG WS 230 DC ES 838237;"
    135 480 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/svarochnaya-benzinovaya-elektrostantsiya-fubag-ws-230-dc-es-838237-821931/
код: 16026120;Инверторный дизельный сварочный генератор ТСС DGW 7.0/250ED-R 018692;"
    172 432 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/invertornyj-dizelnyj-svarochnyj-generator-tss-dgw-7-0-250ed-r-018692-1154578/
код: 15998211;Инверторный бензиновый сварочный генератор ТСС GGW 6.0/250ED-R 022959;"
    156 677 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/invertornyj-benzinovyj-svarochnyj-generator-tss-ggw-6-0-250ed-r-022959-1144921/
код: 15632300;Сварочная бензиновая электростанция 220 В FUBAG WHS 210 DC Honda 838240;"
    206 170 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/svarochnaya-benzinovaya-elektrostantsiya-220-v-fubag-whs-210-dc-honda-838240-821968/
код: 15482148;Бензиновый сварочный генератор Champion 4.5/5 Квт 200А 100кг эл.старт колеса GW200AE;"
    101 190 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/beninovyj-svarochnyj-generator-champion-4-5-5-kvt-200a-100kg-el-start-kolesa-gw200ae-961359/
код: 20718705;Бензиновый сварочный генератор ТСС PROF GGW 5.0/200EH MMA/TIG/Cellulose 027657;"
    225 000 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/benzinovyj-svarochnyj-generator-tss-prof-ggw-5-0-200eh-mma-tig-cellulose-027657-2378404/
код: 15696277;Сварочная бензиновая электростанция FUBAG WHS 210 DDC 838241;"
    220 940 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/svarochnaya-benzinovaya-elektrostantsiya-fubag-whs-210-ddc-838241-845545/
код: 20718639;Бензиновый сварочный генератор ТСС PROF GGW 6.0/200E MMA/TIG/Cellulose 027656;"
    186 900 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/benzinovyj-svarochnyj-generator-tss-prof-ggw-6-0-200e-mma-tig-cellulose-027656-2378398/
