Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 21712018;Инверторная установка Brima TIG-203P AC/DC Digital 220В НП000001034;"
    36 053 р.

    ";"
    В наличии
    11
    шт.
  ";https://spb.vseinstrumenti.ru/product/invertornaya-ustanovka-brima-tig-203p-ac-dc-digital-220v-np000001034-3125588/
код: 15560404;Аргонодуговой сварочный инвертор Aurora PRO INTER TIG 200 AC/DC PULSE Mosfet 10052;"
    61 000 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/argonodugovoj-svarochnyj-invertor-aurora-pro-inter-tig-200-ac-dc-pulse-mosfet-10052-775264/
код: 15773885;Сварочный инвертор Сварог TIG 200 P AC/DC REAL E20101 95484;"
    71 790 р.

    ";"
    В наличии
    5
    шт.
  ";https://spb.vseinstrumenti.ru/product/svarochnyj-invertor-svarog-tig-200-p-ac-dc-real-e20101-95484-881782/
код: 22738227;Сварочный инвертор Сварог TIG 200 P AC/DC REAL (E201B) 98986;"
    71 792 р.

    ";"
    В наличии
    4
    шт.
  ";https://spb.vseinstrumenti.ru/product/svarochnyj-invertor-svarog-tig-200-p-ac-dc-real-e201b-98986-4531782/
код: 15560406;Аргонодуговой сварочный инвертор Aurora PRO INTER TIG 200 PULSE Mosfet 10050;"
    40 700 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/argonodugovoj-svarochnyj-invertor-aurora-pro-inter-tig-200-pulse-mosfet-10050-775265/
код: 15534486;Сварочный инвертор Сварог PRO TIG 200 P DSP AC/DC E201 00000092681;"
    95 747 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/svarochnyj-invertor-svarog-pro-tig-200-p-dsp-ac-dc-e201-00000092681-751687/
код: 23260791;Сварочный инвертор SOLARIS TIG-200P;"
    26 540 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/svarochnyj-invertor-solaris-tig-200p-5304049/
код: 16034573;Установка аргонодуговой сварки КЕДР MultiTIG-2500P-3 DC 380В 8008477;"
    102 800 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/ustanovka-argonodugovoj-svarki-kedr-multitig-2500p-3-dc-380v-8008477-1138073/
код: 15834853;Установка аргонодуговой сварки КЕДР MultiTIG-3200P DC 380В 8008475;"
    123 540 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/ustanovka-argonodugovoj-svarki-kedr-multitig-3200p-dc-380v-8008475-914110/
код: 15118962;Инверторная установка Brima TIG-200 AC/DC 220В HF 0008966;"
    66 211 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/invertornaya-ustanovka-brima-tig-200-ac-dc-220v-hf-0008966-527025/
код: 15894854;Сварочный инвертор Gigant TIG-200;"
    17 087 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/svarochnyj-invertor-gigant-tig-200-1062057/
