Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15502465;Ударная дрель AEG SBE 750 RE 4935442850;"
    9 461 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/udarnaya-drel-aeg-sbe-750-re-4935442850-721635/
код: 15502463;Ударная дрель AEG SBE 705 RE 4935442830;"
    7 527 р.

    ";"
    В наличии
    11
    шт.
  ";https://spb.vseinstrumenti.ru/product/udarnaya-drel-aeg-sbe-705-re-4935442830-721624/
код: 15474573;Ударная дрель Ryobi RPD1010K 5133002058;"
    9 971 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/udarnaya-drel-ryobi-rpd1010k-5133002058-702630/
код: 15474574;Ударная дрель Ryobi RPD1200K 5133002067;"
    10 251 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/udarnaya-drel-ryobi-rpd1200k-5133002067-708689/
код: 15502464;Ударная дрель AEG SBE 750 RZ 4935442840;"
    8 262 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/udarnaya-drel-aeg-sbe-750-rz-4935442840-721633/
код: 15489437;Дрель Фиолент МСУ10-13-РЭ ИДФР298115006-К1;"
    3 432 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/drel-fiolent-msu10-13-re-idfr298115006-k1-710121/
код: 15073269;Ударная дрель СПЕЦ БДУ-850 СПЕЦ-1497;"
    2 590 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/udarnaya-drel-spets-bdu-850-spets-1497-670148/
код: 15480751;Ударная дрель Ryobi RPD800K 5133002018;"
    7 141 р.

    ";"
    В наличии
    2
    шт.
  ";https://spb.vseinstrumenti.ru/product/udarnaya-drel-ryobi-rpd800k-5133002018-711143/
код: 15492704;Ударная дрель ЗУБР Профессионал 1100 Вт ЗДУ-1100-2 ЭРММ2;"
    7 180 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/udarnaya-drel-zubr-professional-1100-vt-zdu-1100-2-ermm2-712905/
код: 15428506;Ударная дрель Вихрь ДУ-850 72/8/3;"
    3 290 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/udarnaya-drel-vihr-du-850-72-8-3-685500/
код: 15624921;Ударная дрель AEG SB2E850R 4935447360;"
    15 471 р.

    ";"
    В наличии
    1
    шт.
  ";https://spb.vseinstrumenti.ru/product/udarnaya-drel-aeg-sb2e850r-4935447360-812351/
код: 15554380;Ударная дрель Зубр МАСТЕР ДУ-810 ЭРМ2;"
    3 540 р.

    ";"
    В наличии
    3
    шт.
  ";https://spb.vseinstrumenti.ru/product/udarnaya-drel-zubr-master-du-810-erm2-763900/
