Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15071076;Угловая дрель Makita DA3010F;"
    34 975 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/uglovaya-drel-makita-da3010f-514364/
код: 1654;Угловая дрель Metabo WBE 700 600512000;"
    47 147 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/uglovaya-drel-metabo-wbe-700-600512000-1654/
код: 13415879;Угловая дрель Bosch GWB 10 RE Professional 0.601.132.708;"
    38 129 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/uglovaya-drel-bosch-gwb-10-re-professional-0-601-132-708-43136/
код: 15473570;Безударная дрель Bosch GWB 10 RE 0.601.132.703;"
    57 268 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/bezudarnaya-drel-bosch-gwb-10-re-0-601-132-703-712968/
код: 17199025;Угловая дрель Fein WBP 10 72055160000;"
    49 183 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/uglovaya-drel-fein-wbp-10-72055160000-1713330/
код: 808;Угловая дрель Makita DA 6301;"
    35 990 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/uglovaya-drel-makita-da-6301-808/
код: 15071075;Угловая дрель Makita DA3011F;"
    24 590 р.

    ";Нет в наличии;https://spb.vseinstrumenti.ru/product/uglovaya-drel-makita-da3011f-508445/
код: 3115;Угловая дрель DEWALT D 21160;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/uglovaya-drel-dewalt-d-21160-39292/
код: 778;Угловая дрель Makita DA 3000 R;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/uglovaya-drel-makita-da-3000-r-778/
код: 5422;Угловая дрель Hitachi D10YB;Нет информации;Нет в наличии;https://spb.vseinstrumenti.ru/product/uglovaya-drel-hitachi-d10yb-5422/
