Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15703825;Адаптер с USB-портом BHJ18C-0 AEG 4935459335;"
    3 464 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/adapter-s-usb-portom-bhj18c-0-aeg-4935459335-853064/
код: 26910968;USB-адаптер для CXT Makita 10.8 В ADP08;"
    1 835 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/usb-adapter-dlya-cxt-10-8v-makita-adp08-8343399/
код: 16451815;USB адаптер для аккумуляторов WORX WA4009;"
    1 990 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/usb-adapter-dlya-akkumulyatorov-worx-wa4009-4684620/
код: 27870236;Адаптер Elitech 1820.12060 198564;"
    690 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/adapter-elitech-1820-12060-198564-8814134/
код: 27208656;Адаптер ЗУ для аккумулятора Интерскол АЗУ-12В 12В 736.1.0.00;"
    590 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/azu-12v-adapter-zu-dlya-akkumulyatora-12v-interskol-736-1-0-00-8831636/
код: 27208692;Адаптер ЗУ для аккумулятора Интерскол АЗУ-18В 18В 737.1.0.00;"
    590 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/azu-18v-adapter-zu-dlya-akkumulyatora-18v-interskol-737-1-0-00-8831726/
код: 15895298;USB переходник RYOBI ONE+ R18USB-0 5133004381;"
    2 384 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/usb-perehodnik-ryobi-one-r18usb-0-5133004381-974200/
код: 15902508;Адаптер питания+фонарь PowerMaxx PA 12 LED-USB Metabo 600298000;"
    5 827 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/adapter-pitaniya-fonar-powermaxx-pa-12-led-usb-metabo-600298000-975413/
код: 15734779;Адаптер питания для Powermaxx Metabo Powermaxx PA USB 606212000;Нет информации;Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/adapter-pitaniya-dlya-powermaxx-metabo-powermaxx-pa-usb-606212000-869895/
код: 15976521;Энергонакопитель M18USBPSHJ2 (переходник для курток с подогревом) Milwaukee 4932471597;"
    6 900 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/energonakopitel-m18usbpshj2-perehodnik-dlya-kurtok-s-podogrevom-milwaukee-4932471597-1101410/
код: 15783479;Адаптер для аккумулятора FLEX 456071;"
    7 500 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/flex-adapter-dlya-akkumulyatora-456071-8061992/
код: 21207226;Зарядное устройство Crown CAU02X;"
    1 790 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/zaryadnoe-ustrojstvo-crown-cau02x-3592854/
код: 15734679;Зарядное устройство USB Einhell PXC TE-CP 18 Li USB-Solo 4514120;"
    1 100 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/zaryadnoe-ustrojstvo-usb-einhell-pxc-te-cp-18-li-usb-solo-4514120-860889/
код: 16016656;USB адаптер для заряда гаджетов от аккумуляторов DEWALT DCB090-XJ;"
    2 880 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/usb-adapter-dlya-zaryada-gadzhetov-ot-akkumulyatorov-dewalt-dcb090-xj-1129572/
код: 15725635;Адаптер для куртки M18 USB PS Milwaukee 4932430084;"
    3 000 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/adapter-dlya-kurtki-m18-usb-ps-milwaukee-4932430084-873779/
код: 20784861;Зарядное USB устройство INGCO P20S CUCLI2001;"
    750 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/zaryadnoe-usb-ustrojstvo-ingco-p20s-cucli2001-2577890/
код: 15611332;USB-переходник GAA 18V-24 для зарядки (14.4/18 В) Bosch 1600A00J61;"
    2 182 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/usb-perehodnik-gaa-18v-24-dlya-zaryadki-14-4-18-v-bosch-1600a00j61-797879/
код: 15494056;Адаптер питания PA 14.4-18 LED-USB Metabo 600288000;"
    4 975 р.

    ";Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/adapter-pitaniya-pa-14-4-18-led-usb-metabo-600288000-726501/
код: 16234524;Адаптер ADP08 Makita 198367;Нет информации;Нет информации/Нет в наличии;https://spb.vseinstrumenti.ru/product/adapter-adp08-makita-198367-1643345/
